uni_name,qs_id
TIANJIN UNIVERSITY,QS00441
TILBURG UNIVERSITY,QS00442
TOHOKU UNIVERSITY,QS00443
TOKAI UNIVERSITY,QS00444
TOKYO INSTITUTE OF TECHNOLOGY,QS00445
TOKYO KASEI UNIVERSITY,QS00446
TOKYO MEDICAL AND DENTAL UNIVERSITY,QS00447
TOKYO METROPOLITAN UNIVERSITY,QS00448
TOKYO UNIVERSITY OF AGRICULTURE AND TECHNOLOGY,QS00449
TOKYO UNIVERSITY OF SCIENCE,QS00450
TOMSK POLYTECHNIC UNIVERSITY,QS00451
TOMSK STATE UNIVERSITY,QS00452
TONGJI UNIVERSITY,QS00453
TSINGHUA UNIVERSITY,QS00454
TUFTS UNIVERSITY,QS00455
TULANE UNIVERSITY,QS00456
TURKU UNIVERSITY OF APPLIED SCIENCES,QS00457
UMEA UNIVERSITY,QS00458
UMM AL-QURA UNIVERSITY,QS00459
UNITED ARAB EMIRATES UNIVERSITY,QS00460
UNIVERSIDAD ADOLFO IBANEZ,QS00461
UNIVERSIDAD ANAHUAC,QS00462
UNIVERSIDAD AUSTRAL - ARGENTINA,QS00463
UNIVERSIDAD AUSTRAL DE CHILE,QS00464
UNIVERSIDAD AUTONOMA DE BUCARAMANGA,QS00465
UNIVERSIDAD AUTONOMA DE MADRID,QS00466
UNIVERSIDAD AUTONOMA DEL ESTADO DE MEXICO,QS00467
UNIVERSIDAD AUTONOMA METROPOLITANA (UAM),QS00468
UNIVERSIDAD CARLOS III DE MADRID,QS00469
UNIVERSIDAD CATOLICA ANDRES BELLO - UCAB,QS00470
UNIVERSIDAD CENTRAL DE VENEZUELA - UCV,QS00471
UNIVERSITY COMPLUTENSE MADRID,QS00472
UNIVERSIDAD DE ALCALA,QS00473
UNIVERSIDAD DE ANTIOQUIA,QS00474
UNIVERSIDAD DE BELGRANO,QS00475
UNIVERSIDAD DE BUENOS AIRES,QS00476
UNIVERSIDAD DE CHILE,QS00477
UNIVERSIDAD DE CONCEPCION,QS00478
UNIVERSIDAD DE COSTA RICA,QS00479
UNIVERSITY OF GRANADA,QS00480
UNIVERSIDAD DE GUADALAJARA (UDG),QS00481
UNIVERSIDAD DE LA FRONTERA (UFRO),QS00482
UNIVERSIDAD DE LA HABANA,QS00483
UNIVERSIDAD DE LA REPUBLICA (UDELAR),QS00484
UNIVERSIDAD DE LA SABANA,QS00485
UNIVERSIDAD DE LAS AMERICAS PUEBLA (UDLAP),QS00486
UNIVERSIDAD DE LOS ANDES COLOMBIA,QS00487
UNIVERSIDAD DE LOS ANDES MERIDA,QS00488
UNIVERSITY OF NAVARRA,QS00489
UNIVERSIDAD DE PALERMO,QS00490
UNIVERSIDAD DE PUERTO RICO,QS00491
UNIVERSITY OF SALAMANCA,QS00492
UNIVERSIDAD DE SAN ANDRA©S,QS00493
UNIVERSIDAD DE SAN FRANCISCO DE QUITO,QS00494
UNIVERSIDAD DE SANTIAGO DE CHILE - USACH,QS00495
UNIVERSIDAD DE SEVILLA,QS00496
UNIVERSIDAD DE TALCA,QS00497
UNIVERSIDAD DE ZARAGOZA,QS00498
UNIVERSIDAD DEL NORTE,QS00499
UNIVERSIDAD DEL ROSARIO,QS00500
UNIVERSIDAD DEL VALLE,QS00501
UNIVERSIDAD DIEGO PORTALES,QS00502
UNIVERSIDAD EAFIT,QS00503
UNIVERSIDAD IBEROAMERICANA (UIA),QS00504
UNIVERSIDAD INDUSTRIAL DE SANTANDER,QS00505
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO (UNAM),QS00506
UNIVERSIDAD NACIONAL COSTA RICA,QS00507
UNIVERSIDAD NACIONAL DE COLOMBIA,QS00508
UNIVERSIDAD NACIONAL DE CORDOBA,QS00509
UNIVERSIDAD NACIONAL DE CUYO,QS00510
UNIVERSIDAD NACIONAL DE LA PLATA,QS00511
UNIVERSIDAD NACIONAL DE MAR DEL PLATA,QS00512
UNIVERSIDAD NACIONAL DE ROSARIO,QS00513
UNIVERSIDAD NACIONAL DE TUCUMAN,QS00514
UNIVERSIDAD NACIONAL DEL SUR,QS00515
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,QS00516
UNIVERSIDAD ORT URUGUAY,QS00517
UNIVERSIDAD PERUANA CAYETANO HEREDIA,QS00518
POLITECNICA DE MADRID,QS00519
UNIVERSIDAD SIMON BOLIVAR VENEZUELA,QS00520
UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,QS00521
UNIVERSIDAD TECNOLOGICA NACIONAL (UTN),QS00522
UNIVERSIDAD TORCUATO DI TELLA,QS00523
UNIVERSIDADE CATOLICA PORTUGUESA LISBOA,QS00524
UNIVERSIDADE DE BRASILIA (UNB),QS00525
UNIVERSIDADE DE SANTIAGO DE COMPOSTELA,QS00526
UNIVERSIDADE DE SAO PAULO (USP),QS00527
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO (UERJ),QS00528
UNIVERSIDADE ESTADUAL DE CAMPINAS,QS00529
UNIVERSIDADE ESTADUAL DE LONDRINA (UEL),QS00530
(UNESP),QS00531
UNIVERSIDADE FEDERAL DA BAHIA,QS00532
UNIVERSIDADE FEDERAL DE MINAS GERAIS,QS00533
UNIVERSIDADE FEDERAL DE SANTA CATARINA,QS00534
UNIVERSIDADE FEDERAL DE SANTA MARIA,QS00535
UNIVERSIDADE FEDERAL DE SAO CARLOS,QS00536
UNIVERSIDADE FEDERAL DE SAO PAULO (UNIFESP),QS00537
UNIVERSIDADE FEDERAL DE VICOSA,QS00538
UNIVERSIDADE FEDERAL DO CEARA (UFC),QS00539
UNIVERSIDADE FEDERAL DO PARANA (UFPR),QS00540
UNIVERSIDADE FEDERAL DO PERNAMBUCO,QS00541
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,QS00542
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,QS00543
UNIVERSIDADE FEDERAL FLUMINENSE,QS00544
UNIVERSIDADE NOVA DE LISBOA,QS00545
UNIVERSIDADE TECNICA DE LISBOA,QS00546
UNIVERSITA  CA' FOSCARI VENEZIA,QS00547
UNIVERSITA' DEGLI STUDI DELL'AQUILA,QS00548
UNIVERSITY OF FLORENCE,QS00549
UNIVERSITY OF GENOA,QS00550
UNIVERSITY OF MILANO,QS00551
UNIVERSITY OF NAPLES - FEDERICO II,QS00552
UNIVERSITY OF PADUA,QS00553
UNIVERSITA  DEGLI STUDI DI PAVIA,QS00554
SAPIENZA UNIVERSITY OF ROME,QS00555
UNIVERSITA¡ DEGLI STUDI DI ROMA - TOR VERGATA,QS00556
UNIVERSITY OF TURIN,QS00557
UNIVERSITY OF TRENTO,QS00558
UNIVERSITA DEGLI STUDI ROMA TRE,QS00559
UNIVERSITY OF BOLOGNA,QS00560
UNIVERSITY OF PISA,QS00561
UNIVERSITAS GADJAH MADA,QS00562
UNIVERSITAT AUTONOMA DE BARCELONA,QS00563
UNIVERSITY OF BASEL,QS00564
UNIVERSITAT BAYREUTH,QS00565
UNIVERSITY OF BERN,QS00566
UNIVERSITAT BIELEFELD,QS00567
UNIVERSITAT BREMEN,QS00568
UNIVERSITY OF BARCELONA,QS00569
UNIVERSITAT DE VALENCIA,QS00570
UNIVERSITAT DES SAARLANDES,QS00571
UNIVERSITAT DUSSELDORF,QS00572
UNIVERSITAT ERLANGEN-NURNBERG,QS00573
UNIVERSITAT FRANKFURT AM MAIN,QS00574
UNIVERSITAT FREIBURG,QS00575
GEORG-AUGUST-UNIVERSITAT GOTTINGEN,QS00576
UNIVERSITAT HAMBURG,QS00577
LEIBNIZ UNIVERSITAT HANNOVER,QS00578
UNIVERSITAT INNSBRUCK,QS00579
UNIVERSITAT JAUME I,QS00580
UNIVERSITAT KONSTANZ,QS00581
UNIVERSITAT LEIPZIG,QS00582
UNIVERSITAT MANNHEIM,QS00583
WESTFALISCHE WILHELMS-UNIVERSITAT MUNSTER,QS00584
UNIVERSITAT POLITECNICA DE CATALUNYA,QS00585
UNIVERSITAT POLITECNICA DE VALENCIA,QS00586
UNIVERSITAT POMPEU FABRA,QS00587
UNIVERSITAT REGENSBURG,QS00588
PARIS LODRON UNIVERSITY OF SALZBURG,QS00589
UNIVERSITAT STUTTGART,QS00590
UNIVERSITAT TRIER,QS00591
EBERHARD KARLS UNIVERSITAT TUBINGEN,QS00592
UNIVERSITAT ULM,QS00593
UNIVERSITY OF VIENNA,QS00594
JULIUS-MAXIMILIANS-UNIVERSITAT WURZBURG,QS00595
UNIVERSITAT ZU KOLN,QS00596
UNIVERSITY OF ZURICH,QS00597
UNIVERSITA  CATTOLICA DEL SACRO CUORE,QS00598
UNIVERSITE AIX-MARSEILLE,QS00599
UNIVERSITE BORDEAUX 1 SCIENCES TECHNOLOGIES,QS00600
UNIVERSITE CATHOLIQUE DE LOUVAIN (UCL),QS00601
UNIVERSITE CHARLES-DE-GAULLE LILLE 3,QS00602
UNIVERSITE CLAUDE BERNARD LYON 1,QS00603
UNIVERSITE DE CAEN BASSE-NORMANDIE,QS00604
UNIVERSITE DE CERGY-PONTOISE,QS00605
UNIVERSITY OF GENEVA,QS00606
UNIVERSITY OF LAUSANNE,QS00607
UNIVERSITY OF LIEGE,QS00608
UNIVERSITE DE LORRAINE,QS00609
UNIVERSITE DE MONTREAL,QS00610
UNIVERSITE DE NANTES,QS00611
UNIVERSITY OF NEUCHATEL,QS00612
UNIVERSITE DE POITIERS,QS00613
UNIVERSITE DE RENNES 1,QS00614
UNIVERSITE DE SHERBROOKE,QS00615
UNIVERSITE DE STRASBOURG,QS00616
UNIVERSITE DU QUEBEC,QS00617
UNIVERSITE JEAN MOULIN LYON 3,QS00618
UNIVERSITE JOSEPH FOURIER - GRENOBLE 1,QS00619
LAVAL UNIVERSITY,QS00620
UNIVERSITE LIBRE DE BRUXELLES (ULB),QS00621
UNIVERSITE LILLE 1 SCIENCES ET TECHNOLOGIE,QS00622
UNIVERSITE LILLE 2 DROIT ET SANTE,QS00623
UNIVERSITE LUMIERE LYON 2,QS00624
UNIVERSITE MONTPELLIER 1,QS00625
UNIVERSITE MONTPELLIER 2 SCIENCES ET TECHNIQUES DU LANGUEDOC,QS00626
UNIVERSITE NICE SOPHIA-ANTIPOLIS,QS00627
UNIVERSITE PANTHEON-ASSAS (PARIS 2),QS00628
UNIVERSITE PARIS 1 PANTHEON-SORBONNE,QS00629
UNIVERSITE PARIS DAUPHINE,QS00630
UNIVERSITE PARIS DESCARTES,QS00631
UNIVERSITE PARIS DIDEROT - PARIS 7,QS00632
UNIVERSITE PARIS OUEST NANTERRE LA DEFENSE,QS00633
UNIVERSITE PARIS-SORBONNE (PARIS IV),QS00634
UNIVERSITE PARIS-SUD 11,QS00635
UNIVERSITE PAUL SABATIER TOULOUSE III,QS00636
UNIVERSITE PAUL-VALERY MONTPELLIER 3,QS00637
UNIVERSITE PIERRE ET MARIE CURIE (UPMC),QS00638
UNIVERSITE PIERRE MENDES FRANCE - GRENOBLE 2,QS00639
UNIVERSITE SAINT-JOSEPH DE BEYROUTH,QS00640
UNIVERSITE STENDHAL GRENOBLE 3,QS00641
UNIVERSITE TOULOUSE 1 CAPITOLE,QS00642
UNIVERSITE TOULOUSE II LE MIRAIL,QS00643
UNIVERSITI KEBANGSAAN MALAYSIA (UKM),QS00644
UNIVERSITI MALAYA (UM),QS00645
UNIVERSITI PUTRA MALAYSIA (UPM),QS00646
UNIVERSITI SAINS MALAYSIA (USM),QS00647
UNIVERSITI TEKNOLOGI MALAYSIA (UTM),QS00648
UNIVERSITI TEKNOLOGI MARA - UITM,QS00649
UNIVERSITI TUN HUSSEIN ONN UNIVERSITY OF MALAYSIA (UTHM),QS00650
UNIVERSITY AT ALBANY SUNY,QS00651
UNIVERSITY AT BUFFALO SUNY,QS00652
UNIVERSITY AUTONOMA DE NUEVO LEON (UANL),QS00653
UNIVERSITY COLLEGE CORK,QS00654
UNIVERSITY COLLEGE DUBLIN,QS00655
UCL (UNIVERSITY COLLEGE LONDON),QS00656
UNIVERSITY MOZARTEUM SALZBURG,QS00657
UNIVERSITY OF ABERDEEN,QS00658
UNIVERSITY OF ADELAIDE,QS00659
UNIVERSITY OF ALABAMA,QS00660
UNIVERSITY OF ALABAMA BIRMINGHAM,QS00661
UNIVERSITY OF ALBERTA,QS00662
UNIVERSITY OF AMSTERDAM,QS00663
UNIVERSITY OF ANTWERP,QS00664
UNIVERSITY OF ARIZONA,QS00665
UNIVERSITY OF ARKANSAS,QS00666
UNIVERSITY OF AUCKLAND,QS00667
UNIVERSITY OF BAGHDAD,QS00668
UNIVERSITY OF BAHRAIN,QS00669
UNIVERSITY OF BARI,QS00670
UNIVERSITY OF BATH,QS00671
UNIVERSITY OF BELGRADE,QS00672
UNIVERSITY OF BERGEN,QS00673
UNIVERSITY OF BIRMINGHAM,QS00674
UNIVERSITY OF BRADFORD,QS00675
UNIVERSITY OF BRAWIJAYA,QS00676
UNIVERSITY OF BRESCIA,QS00677
UNIVERSITY OF BRISTOL,QS00678
UNIVERSITY OF BRITISH COLUMBIA,QS00679
UNIVERSITY OF BUCHAREST,QS00680
UNIVERSITY OF BUCKINGHAM,QS00681
UNIVERSITY OF CALCUTTA,QS00682
UNIVERSITY OF CALGARY,QS00683
UNIVERSITY OF CALIFORNIA BERKELEY (UCB),QS00684
UNIVERSITY OF CALIFORNIA DAVIS,QS00685
UNIVERSITY OF CALIFORNIA IRVINE,QS00686
UNIVERSITY OF CALIFORNIA LOS ANGELES (UCLA),QS00687
UNIVERSITY OF CALIFORNIA RIVERSIDE,QS00688
UNIVERSITY OF CALIFORNIA SAN DIEGO (UCSD),QS00689
UNIVERSITY OF CALIFORNIA SANTA BARBARA (UCSB),QS00690
UNIVERSITY OF CALIFORNIA SANTA CRUZ,QS00691
UNIVERSITY OF CAMBRIDGE,QS00692
UNIVERSITY OF CANBERRA,QS00693
UNIVERSITY OF CANTERBURY,QS00694
UNIVERSITY OF CAPE TOWN,QS00695
CATANIA UNIVERSITY,QS00696
UNIVERSITY OF CENTRAL LANCASHIRE,QS00697
UNIVERSITY OF CHICAGO,QS00698
UNIVERSITY OF CINCINNATI,QS00699
UNIVERSITY OF COIMBRA,QS00700
UNIVERSITY OF COLOMBO,QS00701
UNIVERSITY OF COLORADO BOULDER,QS00702
UNIVERSITY OF CONNECTICUT,QS00703
UNIVERSITY OF CONNECTICUT HEALTH CENTER,QS00704
UNIVERSITY OF COPENHAGEN,QS00705
UNIVERSITY OF CRETE,QS00706
UNIVERSITY OF DEBRECEN,QS00707
UNIVERSITY OF DELAWARE,QS00708
UNIVERSITY OF DELHI,QS00709
UNIVERSITY OF DENVER,QS00710
UNIVERSITY OF DHAKA,QS00711
TRINITY COLLEGE DUBLIN,QS00712
UNIVERSITAT DUISBURG-ESSEN,QS00713
UNIVERSITY OF DUNDEE,QS00714
UNIVERSITY OF EAST ANGLIA (UEA),QS00715
UNIVERSITY OF EAST LONDON,QS00716
UNIVERSITY OF EASTERN FINLAND,QS00717
UNIVERSITY OF ECONOMICS PRAGUE,QS00718
UNIVERSITY OF EDINBURGH,QS00719
UNIVERSITY OF ENGINEERING & TECHNOLOGY (UET) LAHORE,QS00720
UNIVERSITY OF ESSEX,QS00721
UNIVERSITY OF EXETER,QS00722
UNIVERSITY OF FLORIDA,QS00723
UNIVERSITY OF GEORGIA,QS00724
UNIVERSITY OF GHENT,QS00725
UNIVERSITY OF GLASGOW,QS00726
UNIVERSITY OF GOTHENBURG,QS00727
KARL-FRANZENS-UNIVERSITAT GRAZ,QS00728
UNIVERSITY OF GREENWICH,QS00729
UNIVERSITY OF GRONINGEN,QS00730
UNIVERSITY OF GUELPH,QS00731
UNIVERSITY OF HAWAII AT MANOA,QS00732
UNIVERSITY OF HELSINKI,QS00733
UNIVERSITY OF HERTFORDSHIRE,QS00734
UNIVERSITY OF HONG KONG,QS00735
UNIVERSITY OF HOUSTON,QS00736
UNIVERSITY OF HULL,QS00737
UNIVERSITY OF ILLINOIS CHICAGO (UIC),QS00738
UNIVERSITY OF ILLINOIS AT URBANA-CHAMPAIGN,QS00739
UNIVERSITY OF INDONESIA,QS00740
UNIVERSITY OF IOWA,QS00741
UNIVERSITAT JENA,QS00742
UNIVERSITY OF JOHANNESBURG,QS00743
UNIVERSITY OF JORDAN,QS00744
UNIVERSITY OF KANSAS,QS00745
UNIVERSITY OF KARACHI,QS00746
UNIVERSITY OF KENT,QS00747
UNIVERSITY OF KENTUCKY,QS00748
CHRISTIAN-ALBRECHTS-UNIVERSITAT ZU KIEL,QS00749
UNIVERSITY OF KWAZULU-NATAL,QS00750
UNIVERSITY OF LAHORE,QS00751
UNIVERSITY OF LATVIA,QS00752
UNIVERSITY OF LEEDS,QS00753
UNIVERSITY OF LEICESTER,QS00754
UNIVERSITY OF LIMERICK,QS00755
UNIVERSITY OF LISBON,QS00756
UNIVERSITY OF LIVERPOOL,QS00757
UNIVERSITY OF LJUBLJANA,QS00758
UNIVERSITY OF MANCHESTER,QS00759
UNIVERSITY OF MANITOBA,QS00760
UNIVERSITY OF MARYLAND COLLEGE PARK,QS00761
UNIVERSITY OF MASSACHUSETTS AMHERST,QS00762
UNIVERSITY OF MELBOURNE,QS00763
UNIVERSITY OF MIAMI,QS00764
UNIVERSITY OF MICHIGAN,QS00765
UNIVERSITY OF MILANO-BICOCCA,QS00766
UNIVERSITY OF MINNESOTA,QS00767
UNIVERSITY OF MISSISSIPPI,QS00768
UNIVERSITY OF MISSOURI COLUMBIA,QS00769
UNIVERSITY OF MODENA,QS00770
UNIVERSITY OF MUMBAI,QS00771
UNIVERSITY OF MURCIA,QS00772
UNIVERSITY OF NEBRASKA - LINCOLN,QS00773
UNIVERSITY OF NEW ENGLAND,QS00774
UNIVERSITY OF NEW HAMPSHIRE,QS00775
UNIVERSITY OF NEW MEXICO,QS00776
UNIVERSITY OF NEW ORLEANS,QS00777
UNIVERSITY OF NEW SOUTH WALES,QS00778
UNIVERSITY OF NEWCASTLE,QS00779
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,QS00780
UNIVERSITY OF NOTRE DAME,QS00781
UNIVERSITY OF NOTTINGHAM,QS00782
UNIVERSITY OF OKLAHOMA,QS00783
UNIVERSITY OF OREGON,QS00784
UNIVERSITY OF OSLO,QS00785
UNIVERSITY OF OTAGO,QS00786
UNIVERSITY OF OTTAWA,QS00787
UNIVERSITY OF OULU,QS00788
UNIVERSITY OF OXFORD,QS00789
UNIVERSITY OF PATRAS,QS00790
UNIVERSITY OF PENNSYLVANIA,QS00791
UNIVERSITY OF PITTSBURGH,QS00792
UNIVERSITY OF PLYMOUTH,QS00793
UNIVERSITY OF PORTO,QS00794
UNIVERSITY OF PRETORIA,QS00795
UNIVERSITY OF PUNE,QS00796
UNIVERSITY OF QUEBEC SYSTEM,QS00797
UNIVERSITY OF QUEENSLAND,QS00798
UNIVERSITY OF READING,QS00799
UNIVERSITY OF ROCHESTER,QS00800
UNIVERSITY OF SALFORD,QS00801
UNIVERSITY OF SAN DIEGO,QS00802
UNIVERSITY OF SAN FRANCISCO,QS00803
UNIVERSITY OF SANTO TOMAS,QS00804
UNIVERSITY OF SASKATCHEWAN,QS00805
UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING,QS00806
UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,QS00807
UNIVERSITY OF SEOUL,QS00808
UNIVERSITY OF SHEFFIELD,QS00809
UNIVERSITY OF SIENA,QS00810
UNIVERSITY OF SOUTH AUSTRALIA,QS00811
UNIVERSITY OF SOUTH CAROLINA,QS00812
UNIVERSITY OF SOUTH FLORIDA,QS00813
UNIVERSITY OF SOUTHAMPTON,QS00814
UNIVERSITY OF SOUTHERN CALIFORNIA,QS00815
UNIVERSITY OF SOUTHERN DENMARK,QS00816
UNIVERSITY OF SOUTHERN QUEENSLAND,QS00817
UNIVERSITY OF ST GALLEN (HSG),QS00818
UNIVERSITY OF ST GALLEN (HSG)UNIVERSITY OF ST GALLEN (HSG),QS00819
UNIVERSITY OF ST ANDREWS,QS00820
UNIVERSITY OF ST. KLIMENT OHRIDSKI,QS00821
UNIVERSITY OF STIRLING,QS00822
UNIVERSITY OF STRATHCLYDE,QS00823
UNIVERSITY OF SUNDERLAND,QS00824
UNIVERSITY OF SURREY,QS00825
UNIVERSITY OF SUSSEX,QS00826
UNIVERSITY OF SYDNEY,QS00827
UNIVERSITY OF SZEGED,QS00828
UNIVERSITY OF TAMPERE,QS00829
UNIVERSITY OF TASMANIA,QS00830
BRNO UNIVERSITY OF TECHNOLOGY,QS00831
UNIVERSITY OF TECHNOLOGY SYDNEY,QS00832
UNIVERSITY OF TEHRAN,QS00833
UNIVERSITY OF TENNESSEE,QS00834
UNIVERSITY OF TEXAS AT DALLAS,QS00835
UNIVERSITY OF TEXAS AT AUSTIN,QS00836
UNIVERSITY OF THE PACIFIC,QS00837
UNIVERSITY OF THE PHILIPPINES,QS00838
UNIVERSITY OF THE WITWATERSRAND,QS00839
UNIVERSITY OF TOKYO,QS00840
UNIVERSITY OF TORONTO,QS00841
UNIVERSITY OF TRIESTE,QS00842
UNIVERSITY OF TROMSO,QS00843
UNIVERSITY OF TSUKUBA,QS00844
UNIVERSITY OF TULSA,QS00845
UNIVERSITY OF TURKU,QS00846
UNIVERSITY OF TWENTE,QS00847
UNIVERSITY OF ULSAN,QS00848
UNIVERSITY OF ULSTER,QS00849
UNIVERSITY OF UTAH,QS00850
UNIVERSITY OF VERMONT,QS00851
UNIVERSITY OF VICTORIA,QS00852
UNIVERSITY OF VIRGINIA,QS00853
UNIVERSITY OF WAIKATO,QS00854
UNIVERSITY OF WALES,QS00855
UNIVERSITY OF WARSAW,QS00856
UNIVERSITY OF WARWICK,QS00857
UNIVERSITY OF WASHINGTON,QS00858
UNIVERSITY OF WATERLOO,QS00859
UNIVERSITY OF WEST BOHEMIA,QS00860
UNIVERSITY OF WEST HUNGARY,QS00861
UNIVERSITY OF WESTERN AUSTRALIA,QS00862
WESTERN UNIVERSITY,QS00863
UNIVERSITY OF WESTERN SYDNEY,QS00864
UNIVERSITY OF WINDSOR,QS00865
UNIVERSITY OF WISCONSIN-MADISON,QS00866
UNIVERSITY OF WOLLONGONG,QS00867
UNIVERSITY OF WROCLAW,QS00868
UNIVERSITY OF YORK,QS00869
UNIVERSITY OF ZAGREB,QS00870
UPPSALA UNIVERSITY,QS00871
URAL FEDERAL UNIVERSITY,QS00872
UTRECHT UNIVERSITY,QS00873
VANDERBILT UNIVERSITY,QS00874
VERONA UNIVERSITY,QS00875
VICTORIA UNIVERSITY,QS00876
VICTORIA UNIVERSITY OF WELLINGTON,QS00877
VILNIUS GEDIMINAS TECHNICAL UNIVERSITY,QS00878
VILNIUS UNIVERSITY,QS00879
VIRGINIA COMMONWEALTH UNIVERSITY,QS00880
VIRGINIA POLYTECHNIC INSTITUTE (VIRGINIA TECH),QS00881
VORONEZH STATE UNIVERSITY,QS00882
VU UNIVERSITY AMSTERDAM,QS00883
VYTAUTAS MAGNUS UNIVERSITY,QS00884
WAGENINGEN UNIVERSITY,QS00885
WAKE FOREST UNIVERSITY,QS00886
WARSAW UNIVERSITY OF TECHNOLOGY,QS00887
WASEDA UNIVERSITY,QS00888
WASHINGTON STATE UNIVERSITY,QS00889
WASHINGTON UNIVERSITY IN ST. LOUIS,QS00890
WEST UNIVERSITY OF TIMISOARA,QS00891
WORCESTER POLYTECHNIC INSTITUTE,QS00892
WRIGHT STATE UNIVERSITY,QS00893
WUHAN UNIVERSITY,QS00894
XIAMEN UNIVERSITY,QS00895
XI'AN JIAOTONG UNIVERSITY,QS00896
YALE UNIVERSITY,QS00897
YAMAGUCHI UNIVERSITY,QS00898
YESHIVA UNIVERSITY,QS00899
YOKOHAMA CITY UNIVERSITY,QS00900
YOKOHAMA NATIONAL UNIVERSITY,QS00901
YONSEI UNIVERSITY,QS00902
YORK UNIVERSITY,QS00903
ZAGAZIG UNIVERSITY,QS00904
ZHEJIANG UNIVERSITY,QS00905
