uni_name,urap_id
HARBIN NORMAL UNIVERSITY (HNU),URAP00472
HARBIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00473
HARRAN UNIVERSITY,URAP00474
HARVARD UNIVERSITY,URAP00475
HARVEY MUDD COLLEGE,URAP00476
HASHEMITE UNIVERSITY,URAP00477
HASSELT UNIVERSITY (UNIVERSITY OF LIMBURG),URAP00478
HAVERFORD COLLEGE,URAP00479
HEALTH SCIENCES UNIVERSITY OF HOKKAIDO,URAP00480
HEBEI MEDICAL UNIVERSITY,URAP00481
HEBEI NORMAL UNIVERSITY,URAP00482
HEBEI UNIVERSITY,URAP00483
HEBEI UNIVERSITY OF ENGINEERING,URAP00484
HEBEI UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00485
HEBEI UNIVERSITY OF TECHNOLOGY,URAP00486
HEBREW UNIVERSITY OF JERUSALEM,URAP00487
HEC MONTREAL ECOLE DE GESTION,URAP00488
HEFEI UNIVERSITY OF TECHNOLOGY,URAP00489
HEILONGJIANG UNIVERSITY,URAP00490
HELMUT SCHMIDT UNIVERSITAT,URAP00491
HELSINKI UNIVERSITY OF TECHNOLOGY,URAP00492
HELWAN UNIVERSITY,URAP00493
HENAN NORMAL UNIVERSITY,URAP00494
HENAN POLYTECHNIC UNIVERSITY,URAP00495
HENAN UNIVERSITY,URAP00496
HENAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00497
HENRI POINCARE UNIVERSITY (NANCY 1),URAP00498
HERIOT-WATT UNIVERSITY,URAP00499
HERIOTEWATT UNIVERSITY,URAP00500
HIROSAKI UNIVERSITY,URAP00501
HIROSHIMA UNIVERSITY,URAP00502
HITOTSUBASHI UNIVERSITY,URAP00503
HOBART AND WILLIAM SMITH COLLEGES,URAP00504
HOFSTRA UNIVERSITY,URAP00505
HOGSKOLAN SKOVDE,URAP00506
HOHAI UNIVERSITY,URAP00507
HOKKAIDO UNIVERSITY,URAP00508
HOKURIKU UNIVERSITY,URAP00509
HONG KONG BAPTIST UNIVERSITY,URAP00510
HONG KONG INSTITUTE OF EDUCATION,URAP00511
HONG KONG POLYTECHNIC UNIVERSITY,URAP00512
HONG KONG UNIVERSITY OF SCIENCE & TECHNOLOGY,URAP00513
HONGIK UNIVERSITY,URAP00514
HOPE COLLEGE,URAP00515
HOPITAUX UNIVERSITAIRES DE GENEVE,URAP00516
HOSEI UNIVERSITY,URAP00517
HOSEO UNIVERSITY,URAP00518
HOSHI UNIVERSITY,URAP00519
HOWARD UNIVERSITY,URAP00520
HUAFAN UNIVERSITY,URAP00521
HUAQIAO UNIVERSITY,URAP00522
HUAZHONG AGRICULTURAL UNIVERSITY,URAP00523
HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00524
HUBEI UNIVERSITY,URAP00525
HUMBOLDT STATE UNIVERSITY,URAP00526
HUMBOLDT UNIVERSITAT ZU BERLIN,URAP00527
HUNAN AGRICULTURAL UNIVERSITY,URAP00528
HUNAN NORMAL UNIVERSITY,URAP00529
HUNAN UNIVERSITY,URAP00530
HUNAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00531
HUNAN UNIVERSITY OF TECHNOLOGY,URAP00532
HUNG KUANG UNIVERSITY TAIWAN,URAP00533
HUNTER COLLEGE,URAP00534
HYOGO COLLEGE OF MEDICINE,URAP00535
I-SHOU UNIVERSITY,URAP00536
IBARAKI UNIVERSITY,URAP00537
IDAHO STATE UNIVERSITY,URAP00538
IESHOU UNIVERSITY,URAP00539
IHSAN DOGRAMACI BILKENT UNIVERSITY,URAP00540
ILLINOIS INSTITUTE OF TECHNOLOGY,URAP00541
ILLINOIS STATE UNIVERSITY,URAP00542
IMPERIAL COLLEGE,URAP00543
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY,URAP00544
INDIAN INSTITUTE OF TECHNOLOGY DELHI (IITD),URAP00545
INDIAN INSTITUTE OF TECHNOLOGY GUWAHATI (IITG),URAP00546
INDIAN INSTITUTE OF TECHNOLOGY KANPUR (IITK),URAP00547
INDIAN INSTITUTE OF TECHNOLOGY KHARAGPUR,URAP00548
INDIAN INSTITUTE OF TECHNOLOGY MADRAS (IITM),URAP00549
INDIAN INSTITUTE OF TECHNOLOGY ROORKEE (IITR),URAP00550
INDIANA STATE UNIVERSITY,URAP00551
INDIANA UNIVERSITY ? PURDUE UNIVERSITY FORT WAYNE,URAP00552
INDIANA UNIVERSITY,URAP00553
INDIANA UNIVERSITY OF PENNSYLVANIA,URAP00554
INDIANA UNIVERSITY SOUTH BEND,URAP00555
INDIANA UNIVERSITY/PURDUE UNIVERSITY FORT WAYNE,URAP00556
INDIANA UNIVERSITY/PURDUE UNIVERSITY INDIANAPOLIS,URAP00557
INDUSTRIAL PHYSICS AND CHEMISTRY HIGHER EDUCATIONAL INSTITUTION - PARIS,URAP00558
INDUSTRIAL PHYSICS AND CHEMISTRY HIGHER EDUCATIONAL INSTITUTION E PARIS,URAP00559
INDUSTRIAL UNIVERSITY OF SANTANDER,URAP00560
INFORMATION AND COMMUNICATIONS UNIVERSITY,URAP00561
INHA UNIVERSITY,URAP00562
INJE UNIVERSITY,URAP00563
INNER MONGOLIA AGRICULTURAL UNIVERSITY,URAP00564
INNER MONGOLIA UNIVERSITY,URAP00565
INNER MONGOLIA UNIVERSITY OF TECHNOLOGY (IMUT),URAP00566
INONU UNIVERSITY,URAP00567
INSEAD BUSINESS SCHOOL,URAP00568
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON,URAP00569
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE,URAP00570
INSTITUTE OF CHEMICAL TECHNOLOGY PRAGUE,URAP00571
INSTITUTO POLITCNICO DE BRAGANA,URAP00572
INSTITUTO POLITECNICO NACIONAL,URAP00573
INSTITUTO SUPERIOR DAS CIENCIAS DO TRABALHO E DA EMPRESA,URAP00574
INSTITUTO SUPERIOR TECNICO,URAP00575
INTERNATIONAL CHRISTIAN UNIVERSITY,URAP00576
INTERNATIONAL ISLAMIC UNIVERSITY OF MALAYSIA,URAP00577
INTERNATIONAL SCHOOL FOR ADVANCED STUDIES,URAP00578
IOWA STATE UNIVERSITY,URAP00579
IRAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00580
IRKUTSKIJ GOSUDARSTVENNYJ UNIVERSITET,URAP00581
ISFAHAN UNIVERSITY OF MEDICAL SCIENCES,URAP00582
ISFAHAN UNIVERSITY OF TECHNOLOGY,URAP00583
ISTANBUL BILIM UNIVERSITY,URAP00584
ISTANBUL TECHNICAL UNIVERSITY,URAP00585
ISTANBUL UNIVERSITY,URAP00586
ITHACA COLLEGE,URAP00587
IVAN FRANKO NATIONAL UNIVERSITY OF LVIV,URAP00588
IVANE JAVAKHISHVILI TBILISI STATE UNIVERSITY,URAP00589
IWATE MEDICAL UNIVERSITY,URAP00590
IWATE UNIVERSITY,URAP00591
IZMIR INSTITUTE OF TECHNOLOGY,URAP00592
IZMIR UNIVERSITY OF ECONOMICS,URAP00593
J.E. PURKYNE UNIV.,URAP00594
JACKSON STATE UNIVERSITY,URAP00595
JACOBS UNIVERSITY BREMEN,URAP00596
JADAVPUR UNIVERSITY,URAP00597
JAGIELLONIAN UNIVERSITY,URAP00598
JAHANGIRNAGAR UNIVERSITY,URAP00599
JAI NARAIN VYAS UNIVERSITY JODHPUR,URAP00600
JAMES COOK UNIVERSITY NORTH QUEENSLAND,URAP00601
JAMES MADISON UNIVERSITY,URAP00602
JAMIA HAMDARD,URAP00603
JAPAN ADVANCED INSTITUTE OF SCIENCE & TECHNOLOGY,URAP00604
JAWAHARLAL NEHRU TECHNOLOGICAL UNIVERSITY,URAP00605
JAWAHARLAL NEHRU UNIVERSITY,URAP00606
JIANGNAN UNIVERSITY,URAP00607
JIANGSU UNIVERSITY,URAP00608
JIANGXI NORMAL UNIVERSITY,URAP00609
JIAXING UNIVERSITY,URAP00610
JICHI MEDICAL UNIVERSITY,URAP00611
JIKEI UNIVERSITY,URAP00612
JILIN UNIVERSITY,URAP00613
JIMEI UNIVERSITY,URAP00614
JIMMA UNIVERSITY,URAP00615
JINAN UNIVERSITY,URAP00616
JOENSUUN YLIOPISTO,URAP00617
JOHANNES GUTENBERG UNIVERSITAT MAINZ,URAP00618
JOHANNES KEPLER UNIVERSITY LINZ,URAP00619
JOHNS HOPKINS UNIVERSITY,URAP00620
JONKOPING UNIVERSITY,URAP00621
JORDAN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00622
JOSAI UNIVERSITY,URAP00623
JOSIP JURAJ STROSSMAYER UNIVERSITY OF OSIJEK,URAP00624
JUNTENDO UNIVERSITY,URAP00625
JUSTUS LIEBIG UNIVERSITAT GIESSEN,URAP00626
JYVASKYLA UNIVERSITY,URAP00627
K.N. TOOSI UNIVERSITY OF TECHNOLOGY,URAP00628
KAFKAS UNIVERSITY,URAP00629
KAGAWA UNIVERSITY,URAP00630
KAGOSHIMA UNIVERSITY,URAP00631
KAHRAMANMARAS SUTCU IMAM UNIVERSITY,URAP00632
KANAGAWA UNIVERSITY,URAP00633
KANAZAWA INSTITUTE OF TECHNOLOGY,URAP00634
KANAZAWA MEDICAL UNIVERSITY,URAP00635
KANAZAWA UNIVERSITY,URAP00636
KANGWON NATIONAL UNIVERSITY,URAP00637
KANSAI MEDICAL UNIVERSITY,URAP00638
KANSAI UNIVERSITY,URAP00639
KANSAS STATE UNIVERSITY,URAP00640
KAOHSIUNG MEDICAL UNIVERSITY,URAP00641
KARABUK UNIVERSITY,URAP00642
KARADENIZ TECHNICAL UNIVERSITY,URAP00643
KARNATAK UNIVERSITY,URAP00644
KAROLINSKA INSTITUTE,URAP00645
KASETSART UNIVERSITY,URAP00646
KAUNAS UNIVERSITY OF MEDICINE,URAP00647
KAUNAS UNIVERSITY OF TECHNOLOGY,URAP00648
KAWASAKI MEDICAL COLLEGE,URAP00649
KAZAN STATE TECHNICAL UNIVERSITY,URAP00650
KEELE UNIVERSITY,URAP00651
KEIMYUNG UNIVERSITY,URAP00652
KEIO UNIVERSITY,URAP00653
KENNESAW STATE UNIVERSITY,URAP00654
KENT STATE UNIVERSITY,URAP00655
KERMANSHAH UNIVERSITY OF MEDICAL SCIENCES,URAP00656
KHARKIV NATIONAL UNIVERSITY,URAP00657
KHARTOUM UNIVERSITY,URAP00658
KHON KAEN UNIVERSITY,URAP00659
KING ABDULAZIZ UNIVERSITY,URAP00660
KING FAHD UNIVERSITY OF PETROLEUM & MINERALS,URAP00661
KING FAISAL UNIVERSITY,URAP00662
KING KHALID UNIVERSITY,URAP00663
KING MONGKUTS INSTITUTE OF TECHNOLOGY LADKRABANG,URAP00664
KING MONGKUT´S UNIVERSITY OF TECHNOLOGY THONBURI,URAP00665
KING SAUD UNIVERSITY,URAP00666
KINGS COLLEGE LONDON,URAP00667
KINGSTON UNIVERSITY LONDON,URAP00668
KINKI UNIVERSITY,URAP00669
KIRIKKALE UNIVERSITY,URAP00670
KITASATO UNIVERSITY,URAP00671
KLAIPEDA UNIVERSITY,URAP00672
KOBE GAKUIN UNIVERSITY,URAP00673
KOBE PHARMACEUTICAL UNIVERSITY,URAP00674
KOBE UNIVERSITY,URAP00675
KOC UNIVERSITY,URAP00676
KOCAELI UNIVERSITY,URAP00677
KOCHI MEDICAL SCHOOL,URAP00678
KOCHI UNIVERSITY,URAP00679
KOGAKUIN UNIVERSITY,URAP00680
KONAN UNIVERSITY,URAP00681
KONKUK UNIVERSITY,URAP00682
KOOKMIN UNIVERSITY,URAP00683
KOREA UNIVERSITY,URAP00684
KRISTIANSTAD UNIVERSITY,URAP00685
KUMAMOTO UNIVERSITY,URAP00686
KUN SHAN UNIVERSITY,URAP00687
KUNMING UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00688
KUNSAN NATIONAL UNIVERSITY,URAP00689
KURUKSHETRA UNIVERSITY,URAP00690
KURUME UNIVERSITY,URAP00691
KUVEMPU UNIVERSITY,URAP00692
KWAME NKRUMAH UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00693
KWANGWOON UNIVERSITY,URAP00694
KWANSEI GAKUIN UNIVERSITY,URAP00695
KYONGGI UNIVERSITY,URAP00696
KYORIN UNIVERSITY,URAP00697
KYOTO INSTITUTE OF TECHNOLOGY,URAP00698
KYOTO PHARMACEUTICAL UNIVERSITY,URAP00699
KYOTO PREFECTURAL UNIVERSITY,URAP00700
KYOTO PREFECTURAL UNIVERSITY OF MEDICINE,URAP00701
KYOTO SANGYO UNIVERSITY,URAP00702
KYOTO UNIVERSITY,URAP00703
KYUNG HEE UNIVERSITY,URAP00704
KYUNGPOOK NATIONAL UNIVERSITY,URAP00705
KYUSHU INSTITUTE OF TECHNOLOGY,URAP00706
KYUSHU UNIVERSITY,URAP00707
LA FUNDACION UNIVERSITARIA SAN PABLO CEU,URAP00708
LA TROBE UNIVERSITY,URAP00709
LAFAYETTE COLLEGE,URAP00710
LAKEHEAD UNIVERSITY,URAP00711
LAMAR UNIVERSITY,URAP00712
LANCASTER UNIVERSITY,URAP00713
LANZHOU JIAOTONG UNIVERSITY,URAP00714
LANZHOU UNIVERSITY,URAP00715
LANZHOU UNIVERSITY OF TECHNOLOGY,URAP00716
LAPPEENRANTA UNIVERSITY OF TECHNOLOGY,URAP00717
LEEDS METROPOLITAN UNIVERSITY,URAP00718
LEHIGH UNIVERSITY,URAP00719
LEHMAN COLLEGE,URAP00720
LEIDEN UNIVERSITY,URAP00721
LEWIS & CLARK COLLEGE,URAP00722
LIAOCHENG UNIVERSITY,URAP00723
LIAONING NORMAL UNIVERSITY,URAP00724
LIAONING UNIVERSITY,URAP00725
LINCOLN UNIVERSITY CANTERBURY,URAP00726
LINGNAN UNIVERSITY,URAP00727
LINKOPING UNIVERSITY,URAP00728
LITHUANIAN UNIVERSITY OF HEALTH SCIENCES,URAP00729
LIVERPOOL JOHN MOORES UNIVERSITY,URAP00730
LOMA LINDA UNIVERSITY,URAP00731
LOMONOSOV MOSCOW STATE UNIVERSITY,URAP00732
LONDON BUSINESS SCHOOL,URAP00733
LONDON METROPOLITAN UNIVERSITY,URAP00734
LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE,URAP00735
LONDON SOUTH BANK UNIVERSITY,URAP00736
LONG ISLAND UNIVERSITY,URAP00737
LOUGHBOROUGH UNIVERSITY,URAP00738
LOUIS PASTEUR UNIVERSITY (STRASBOURG 1),URAP00739
LOUISIANA STATE UNIVERSITY,URAP00740
LOUISIANA STATE UNIVERSITY IN SHREVEPORT,URAP00741
LOUISIANA TECH UNIVERSITY,URAP00742
LOYOLA COLLEGE,URAP00743
LOYOLA MARYMOUNT UNIVERSITY,URAP00744
LOYOLA UNIVERSITY CHICAGO,URAP00745
LOYOLA UNIVERSITY NEW ORLEANS,URAP00746
LUDONG UNIVERSITY,URAP00747
LUDWIG MAXIMILIANS UNIVERSITAT MUNCHEN,URAP00748
LULEA UNIVERSITY OF TECHNOLOGY,URAP00749
LUND UNIVERSITY,URAP00750
LUNGHWA UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00751
LUOYANG NORMAL UNIVERSITY,URAP00752
LVIV POLYTECHNIC NATIONAL UNIVERSITY,URAP00753
MACALESTER COLLEGE,URAP00754
MACQUARIE UNIVERSITY,URAP00755
MADURAI KAMARAJ UNIVERSITY,URAP00756
MAE FAH LUANG UNIVERSITY,URAP00757
MAHARSHI DAYANAND UNIVERSITY,URAP00758
MAHASARAKHAM UNIVERSITY,URAP00759
MAHIDOL UNIVERSITY,URAP00760
MAKERERE UNIVERSITY,URAP00761
MALARDALEN UNIVERSITY,URAP00762
MALMO UNIVERSITY,URAP00763
MALTEPE UNIVERSITY,URAP00764
MANCHESTER METROPOLITAN UNIVERSITY,URAP00765
MANGALORE UNIVERSITY INDIA,URAP00766
MANIPAL UNIVERSITY,URAP00767
MANSOURA UNIVERSITY,URAP00768
MARIA CURIE SKLODOWSKA UNIVERSITY,URAP00769
MARMARA UNIVERSITY,URAP00770
MARQUETTE UNIVERSITY,URAP00771
MARSHALL UNIVERSITY,URAP00772
MARTIN LUTHER UNIVERSITAT HALLE WITTENBERG,URAP00773
MASARYK UNIVERSITY,URAP00774
MASHAD UNIVERSITY OF MEDICAL SCIENCES,URAP00775
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,URAP00776
MASSEY UNIVERSITY,URAP00777
MBARARA UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00778
MCGILL UNIVERSITY,URAP00779
MCMASTER UNIVERSITY,URAP00780
MEDICAL COLLEGE OF GEORGIA,URAP00781
MEDICAL COLLEGE OF WISCONSIN,URAP00782
MEDICAL UNIVERSITY OF GRAZ,URAP00783
MEDICAL UNIVERSITY OF INNSBRUCK,URAP00784
MEDICAL UNIVERSITY OF LUBLIN,URAP00785
MEDICAL UNIVERSITY OF SOFIA,URAP00786
MEDICAL UNIVERSITY OF SOUTH CAROLINA,URAP00787
MEDICAL UNIVERSITY OF VIENNA,URAP00788
MEDICAL UNIVERSITY OF WARSAW,URAP00789
MEDICAL UNIVERSITY OF WROCLAW,URAP00790
MEHARRY MEDICAL COLLEGE,URAP00791
MEHMET AKIF ERSOY UNIVERSITY,URAP00792
MEIJI PHARMACEUTICAL UNIVERSITY,URAP00793
MEIJI UNIVERSITY,URAP00794
MEIJO UNIVERSITY,URAP00795
MEMORIAL UNIVERSITY OF NEWFOUNDLAND,URAP00796
MENDEL UNIVERSITY OF AGRICULTURE AND FORESTRY BRNO,URAP00797
MENDELOVA UNIVERZITA V BRNE,URAP00798
MERCER UNIVERSITY,URAP00799
MERSIN UNIVERSITY,URAP00800
MIAMI UNIVERSITY OF OHIO,URAP00801
MICHIGAN STATE UNIVERSITY,URAP00802
MICHIGAN TECHNOLOGICAL UNIVERSITY,URAP00803
MID SWEDEN UNIVERSITY,URAP00804
MIDDLE EAST TECHNICAL UNIVERSITY,URAP00805
MIDDLE TENNESSEE STATE UNIVERSITY,URAP00806
MIDDLEBURY COLLEGE,URAP00807
MIDDLESEX UNIVERSITY,URAP00808
MIE UNIVERSITY,URAP00809
MING CHUAN UNIVERSITY,URAP00810
MING HSIN UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00811
MINIA UNIVERSITY,URAP00812
MINNESOTA STATE UNIVERSITY MANKATO,URAP00813
MINUFIYA UNIVERSITY,URAP00814
MISSISSIPPI STATE UNIVERSITY,URAP00815
MISSOURI STATE UNIVERSITY,URAP00816
MISSOURI UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00817
MITTUNIVERSITETET,URAP00818
MIYAZAKI UNIVERSITY,URAP00819
MOHAMMED V UNIVERSITY,URAP00820
MOHAMMED V UNIVERSITY-AGDAL,URAP00821
MONASH UNIVERSITY,URAP00822
MONTANA STATE UNIVERSITY,URAP00823
MONTANUNIVERSITAT LEOBEN,URAP00824
MONTCLAIR STATE UNIVERSITY,URAP00825
MOREHOUSE SCHOOL OF MEDICINE,URAP00826
MOSCOW INSTITUTE OF PHYSICS AND TECHNOLOGY,URAP00827
MOSCOW STATE PEDAGOGICAL UNIVERSITY,URAP00828
MOUNT ALLISON UNIVERSITY,URAP00829
MOUNT HOLYOKE COLLEGE,URAP00830
MUGLA SITKI KOCMAN UNIVERSITY,URAP00831
MUGLA UNIVERSITY,URAP00832
MUHIMBILI UNIVERSITY OF HEALTH AND ALLIED SCIENCES,URAP00833
MUKOGAWA WOMENS UNIVERSITY,URAP00834
MULTIMEDIA UNIVERSITY,URAP00835
MURDOCH UNIVERSITY,URAP00836
MURORAN INSTITUTE OF TECHNOLOGY,URAP00837
MURRAY STATE UNIVERSITY,URAP00838
MUSTAFA KEMAL UNIVERSITY,URAP00839
MUTAH UNIVERSITY,URAP00840
MYONGJI UNIVERSITY,URAP00841
NAGAOKA UNIVERSITY OF TECHNOLOGY,URAP00842
NAGASAKI UNIVERSITY,URAP00843
NAGOYA CITY UNIVERSITY,URAP00844
NAGOYA INSTITUTE OF TECHNOLOGY,URAP00845
NAGOYA UNIVERSITY,URAP00846
NAMIK KEMAL UNIVERSITY,URAP00847
NANCHANG UNIVERSITY,URAP00848
NANJING AGRICULTURAL UNIVERSITY,URAP00849
NANJING FORESTRY UNIVERSITY,URAP00850
NANJING MEDICAL UNIVERSITY,URAP00851
NANJING NORMAL UNIVERSITY,URAP00852
NANJING UNIVERSITY,URAP00853
NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,URAP00854
NANJING UNIVERSITY OF INFORMATION SCIENCE AND TECHNOLOGY,URAP00855
NANJING UNIVERSITY OF POST AND TELECOMMUNICATIONS,URAP00856
NANJING UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00857
NANJING UNIVERSITY OF TECHNOLOGY,URAP00858
NANKAI UNIVERSITY,URAP00859
NANTONG UNIVERSITY,URAP00860
NANYANG TECHNOLOGICAL UNIVERSITY,URAP00861
NAPIER UNIVERSITY,URAP00862
NARA INSTITUTE OF SCIENCE AND TECHNOLOGY,URAP00863
NARA MEDICAL UNIVERSITY,URAP00864
NARA WOMENS UNIVERSITY,URAP00865
NARESUAN UNIVERSITY,URAP00866
NATIONAL AND KAPODISTRIAN UNIVERSITY OF ATHENS,URAP00867
NATIONAL CENTRAL UNIVERSITY,URAP00868
NATIONAL CHANGHUA UNIVERSITY OF EDUCATION,URAP00869
NATIONAL CHENG KUNG UNIVERSITY,URAP00870
NATIONAL CHENGCHI UNIVERSITY,URAP00871
NATIONAL CHI NAN UNIVERSITY,URAP00872
NATIONAL CHIAO TUNG UNIVERSITY,URAP00873
NATIONAL CHIAYI UNIVERSITY,URAP00874
NATIONAL CHIN-YI UNIVERSITY OF TECHNOLOGY,URAP00875
NATIONAL CHUNG CHENG UNIVERSITY,URAP00876
NATIONAL CHUNG HSING UNIVERSITY,URAP00877
NATIONAL DEFENSE MEDICAL COLLEGE TOKOROZAWA,URAP00878
NATIONAL DONG HWA UNIVERSITY,URAP00879
NATIONAL FORMOSA UNIVERSITY TAIWAN,URAP00880
NATIONAL HSINCHU UNIVERSITY OF EDUCATION,URAP00881
NATIONAL ILAN UNIVERSITY,URAP00882
NATIONAL KAOHSIUNG FIRST UNIVERSITY OF SCIENCE & TECHNOLOGY,URAP00883
NATIONAL KAOHSIUNG MARINE UNIVERSITY,URAP00884
NATIONAL KAOHSIUNG NORMAL UNIVERSITY,URAP00885
NATIONAL KAOHSIUNG UNIVERSITY OF APPLIED SCIENCES,URAP00886
NATIONAL PINGTUNG UNIVERSITY OF SCIENCE AND TECHNOLOGY,URAP00887
NATIONAL SUN YAT-SEN UNIVERSITY,URAP00888
NATIONAL SUN YATESEN UNIVERSITY,URAP00889
NATIONAL TAIPEI UNIVERSITY,URAP00890
NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,URAP00891
NATIONAL TAITUNG UNIVERSITY TAIWAN,URAP00892
NATIONAL TAIWAN NORMAL UNIVERSITY,URAP00893
NATIONAL TAIWAN OCEAN UNIVERSITY,URAP00894
NATIONAL TAIWAN UNIVERSITY,URAP00895
NATIONAL TAIWAN UNIVERSITY OF SCIENCE & TECHNOLOGY,URAP00896
NATIONAL TARAS SHEVCHENKO UNIVERSITY OF KYIV,URAP00897
NATIONAL TECHNICAL UNIVERSITY OF ATHENS,URAP00898
NATIONAL TECHNICAL UNIVERSITY OF UKRAINE,URAP00899
NATIONAL TSING HUA UNIVERSITY TAIWAN,URAP00900
NATIONAL UNITED UNIVERSITY TAIWAN,URAP00901
NATIONAL UNIVERSITY COSTA RICA,URAP00902
NATIONAL UNIVERSITY OF IRELAND GALWAY,URAP00903
NATIONAL UNIVERSITY OF IRELAND MAYNOOTH,URAP00904
NATIONAL UNIVERSITY OF KAOHSIUNG,URAP00905
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST),URAP00906
NATIONAL UNIVERSITY OF SCIENCES AND TECHNOLOGY (NUST) ISLAMABAD PAKISTAN,URAP00907
NATIONAL UNIVERSITY OF SINGAPORE,URAP00908
NATIONAL UNIVERSITY OF TAINAN TAIWAN,URAP00909
NATIONAL YANG MING UNIVERSITY,URAP00910
NATIONAL YUNLIN UNIVERSITY OF SCIENCE & TECHNOLOGY,URAP00911
NAVAL UNIVERSITY OF ENGINEERING,URAP00912
NELSON MANDELA METROPOLITAN UNIVERSITY,URAP00913
NEW JERSEY INSTITUTE OF TECHNOLOGY,URAP00914
NEW MEXICO INSTITUTE OF MINING & TECHNOLOGY,URAP00915
NEW MEXICO STATE UNIVERSITY,URAP00916
NEW YORK MEDICAL COLLEGE,URAP00917
NEW YORK UNIVERSITY,URAP00918
NICOLAUS COPERNICUS UNIVERSITY,URAP00919
NIGDE UNIVERSITY,URAP00920
NIHON UNIVERSITY,URAP00921
